"Planet_number";"P_name";"star_idx";"Mass";"RELATIVE DENSITY";"RADIUS";"terrain type";"TYPE OF CLIMATE"
464;"Nebula Nova Yi";1948;6,02;0,87;1,91;"cave:hill:rocky desert:grassy hill";"superheated:temperate:hot:artificial temperate:humid"
465;"Nebula Nova Wu";1948;0,49;0,88;0,82;"acid pool";"humid:frozen"
466;"Nebula Nova Liu";1948;0,84;1,086;0,92;"savanna";"frigid:subartic:artificial temperate:arid"
467;"Nebula Nova San";1948;7,76;0,773;2,16;"river:hill";"humid:temperate:artificial temperate:tropical"
468;"Aldhanab V";7970;2,16;0,635;1,5;"cliff";"humid:superheated:rocky"
469;"Kirei Janusian";9853;7,56;1,375;1,76;"jungle:fungus forest:rock arche:rocky island";"humid:subartic:rocky"
470;"Skjoldr XXII";4557;4,06;0,976;1,61;"ocean";"artic:windy:frigid"
471;"Dubhe Iota";6408;0,43;0,761;0,83;"ice canyon:ice cave:bog:city:lava river:rocky desert:vine:cave:rocky island";"humid:hot:subartic:windy:artificial temperate:arid:tropical"
472;"Pulsar Radiance Sextant";9545;0,78;1,073;0,9;"lakes:grassland:rocky island";"hot:temperate"
473;"Pulsar Radiance Duodecimal";9545;1,9;1,277;1,14;"ice cave";"windy:frozen:arid"
474;"Lunacraze Psychean";6523;1,93;0,823;1,33;"lava river:sinkholes:plateau:jungle";"hot:artic:humid"
475;"Lunacraze Titanos";6523;1,25;0,914;1,11;"rock arche:reef:canyons:sinkholes:ash";"hot:humid:frigid"
476;"Lunacraze Centaurios";6523;5,16;1,103;1,67;"mountain";"hot:artic:tropical"
477;"Kaze Janusian";249;6,16;0,826;1,95;"plateau:lakes";"artic:windy:rocky:subartic:hot"
478;"Aozora Nebula Zephyrian";1549;4,32;1,505;xx;"grassland:rock arche:jungle";"frozen:tropical:temperate"
479;"Haruka Epsilon";8521;8,77;0,909;2,13;"rocky island:city:barren";"rocky:arid"
480;"Haruka Eta";8521;1,34;1,162;1,05;"scrubland:lakes:hill:island:ice canyon:desert";"artic:windy:humid:arid:superheated:temperate"
481;"Haruka Rho";8521;1,31;0,756;1,2;"rocky desert:sea:rocky island:fungus forest:mountain";"rocky:superheated:hot:frozen"
482;"Haruka Iota";8521;0,7;1,076;0,87;"vine";"humid:rocky"
483;"Solaris Shroud Tau";7145;2,47;0,947;1,38;"volcano:city:glacier";"humid:tropical:arid:subartic:hot:superheated:temperate"
484;"Solaris Shroud Epsilon";7145;0,9;1,054;0,95;"plain:forest:plateau:lakes";"frozen:frigid:artic:humid:temperate:subartic:windy"
485;"Solaris Shroud Upsilon";7145;1,56;0,975;1,17;"scrubland:bog:canyons:island:cave:reef:plateau:rocky canyon";"arid:windy:temperate:rocky:humid:frigid"
486;"Stellarastra II";179;5,45;0,871;1,84;"plateau";"frigid:frozen:tropical:artic:hot"
487;"Stellarastra XVII";179;3,56;0,471;1,96;"plain";"windy:subartic:humid:frozen:frigid"
488;"Aspidiske San";2184;6,57;0,927;1,92;"verdant:city";"superheated"
489;"Axólotl Septimal";3946;1,75;0,955;1,22;"verdant:ice canyon";"frigid:arid"
490;"Axólotl Decimal";3946;3,77;1,214;1,46;"field:swamp:rocky desert";"tropical:humid:frozen:subartic"
491;"Axólotl Sextant";3946;8,33;1,372;1,82;"urban:lava river:fungus forest:ocean:savanna";"artificial temperate:hot:windy:humid:superheated:artic"
492;"Axólotl Quartal";3946;1,14;0,629;1,22;"valley:bog:plateau:hill:reef";"hot:arid:subartic:artic:windy"
493;"Scarabian Cosmos Sirenios";5919;1,71;1,214;1,12;"sea";"tropical"
494;"Scarabian Cosmos Hermian";5919;2,4;1,058;1,31;"rocky island:reef:verdant";"artificial temperate:humid:temperate:subartic:tropical:arid:frozen"
495;"Scarabian Cosmos Orphean";5919;7,55;0,914;2,02;"rock arche:urban:cave:sea:jungle";"hot:frigid:subartic"
496;"Scarabian Cosmos Faunios";5919;2,52;0,934;1,39;"fungus forest:hill:sea";"hot:windy:frozen:humid:artificial temperate:artic"
497;"Yugen Cerberian";9751;4,11;1,175;1,52;"plateau";"artificial temperate:frozen:temperate:frigid"
498;"Yugen Poseidian";9751;2,7;0,863;1,46;"volcano:acid pool";"hot:frozen"
499;"Yugen Olympus";9751;6,07;1,165;1,73;"bog:valley:vine";"windy:tropical:temperate:artic"
500;"Nyamien XV";7264;1,58;1,035;1,15;"river";"windy:rocky:hot"
501;"Spectral Veil X";9605;3,13;0,832;1,56;"rocky desert:rocky island:toxic cloudsea:hill";"frozen:rocky:arid:subartic:artic:frigid"
502;"Keid Echoian";2475;1,3;0,95;1,11;"jungle";"artificial temperate:frozen:hot:humid"
503;"Minchir Hestian";5529;2,25;1,202;1,23;"bog:ice canyon:grassland";"temperate:frozen"
504;"Nile Celestial V";4264;2,82;1,274;1,3;"grassland:cliff";"windy:temperate:humid"
505;"Hunor Epsilon";8295;0,39;1,341;0,66;"river:tundra:rocky island";"artificial temperate:arid:rocky:artic"
506;"Hunor Xi";8295;6,17;0,803;1,97;"canyons:ocean:tundra";"subartic:temperate:windy"
507;"Hunor Sigma";8295;1,94;0,666;1,43;"ash:hill:verdant:cave";"superheated:artic:subartic"
508;"Hunor Chi";8295;3,78;xx;1,93;"reef";"artificial temperate:temperate:artic"
509;"Horus' Ascendance Quintal";6377;1,31;0,953;1,11;"cityscape";"superheated:frigid"
510;"Horus' Ascendance Duodecimal";6377;0,95;1,175;0,93;"scrubland:plain:urban:forest:grassland";"temperate:rocky:arid"
511;"Horus' Ascendance Prime";6377;2,18;1,228;xx;"glacier:cliff:mountain:grassy hill";"artificial temperate:frozen:temperate"
512;"Unurgunite Nyxios";815;1,14;1,229;0,98;"desert:sea:verdant:rainforest:lakes";"rocky:arid:subartic:humid:temperate"
513;"Lesath Prime";1427;1,86;1,324;1,12;"glacier:plain:toxic cloudsea:hill";"rocky:artic:humid"
514;"Mirzam Gamma";3386;1,58;1,084;1,13;"forest:ocean:vine:ice cave:field:savanna";"subartic:arid:frigid:humid:superheated"
515;"Celestara Shi";3656;6,43;1,201;1,75;"plateau:vine:sea:cliff:island:city:lava river";"windy:frigid:superheated:hot:tropical:subartic"
516;"Celestara Er";3656;1,53;0,837;1,22;"rocky island";"windy:temperate:hot:frozen:rocky"
517;"Larawag III";2574;1,94;0,821;1,33;"rocky desert:city:rocky canyon";"windy:artic:tropical:frigid"
518;"Larawag XX";2574;2,51;1,045;1,34;"ice cave";"subartic:frozen:humid:frigid:hot:rocky"
519;"Larawag VII";2574;7,56;0,723;2,19;"verdant:mountain";"subartic"
520;"Mahsati IX";927;4,54;1,105;1,6;"rock arche:acid pool:tundra:grassy hill:cliff:plateau:city";"subartic:temperate:arid:rocky:frigid"
521;"Ecliptix Qi";7895;0,98;0,878;1,04;"plain:sea:rocky canyon:forest:ice canyon:rock arche:savanna";"humid:tropical:artificial temperate:frigid:rocky"
522;"Pipoltr Olympios";7267;1,21;0,672;1,22;"rock arche:verdant";"frigid:windy:frozen"
523;"Pipoltr Apollox";7267;1,01;0,924;1,03;"toxic cloudsea:city:acid pool:valley";"temperate:windy:subartic:hot:frigid:artic"
524;"Pipoltr Hecatean";7267;1,29;1,081;1,06;"volcano:plateau:lakes:cityscape";"humid:artic:tropical:windy:hot:frozen:subartic"
525;"Pipoltr Nyxios";7267;3,67;0,788;1,67;"vine:sinkholes:lava river:lakes";"frigid:superheated:subartic:hot:temperate"
526;"Saiph Er";3303;7,13;1,181;1,82;"glacier:field:rock arche:jungle:plateau:lava river";"humid:tropical:arid:hot:rocky:temperate:frozen"
527;"Saiph Yi";3303;1,85;1,157;xx;"mountain:ash";"rocky:superheated"
528;"Saiph Liu";3303;2,72;1,125;1,34;"ice cave:field:island:grassland:vine:plain";"tropical:artic:temperate:frigid"
529;"Tarazed Gaian";6729;7;0,921;1,97;"river:valley";"frigid:subartic"
530;"Mjornir Athenian";4284;8,6;0,666;2,35;"rocky canyon:cityscape:rocky island:toxic cloudsea:plateau:valley";"arid:rocky:artic:subartic"
531;"Skybreaker Nymphios";5121;0,37;1,111;0,69;"glacier:rocky desert:lakes:desert:verdant:ice cave:rock arche";"artificial temperate:temperate:humid:rocky:frozen:arid"
532;"Cryptic Shadows Er";5248;2,9;1,046;1,4;"jungle:vine:reef:urban:plain";"tropical:artic:temperate"
533;"Cryptic Shadows Si";5248;7,17;0,952;1,96;"reef:desert:acid pool:plain:forest:sinkholes";"rocky:artic:windy:hot:frozen"
534;"Cryptic Shadows Shi";5248;1;0,997;1;"city:cave:verdant:valley";"superheated:hot:artic"
535;"Iklil Duodecimal";1907;1,59;1,239;1,09;"desert:sea:canyons";"windy:hot:superheated:subartic:rocky"
536;"Thunderpeak Psychean";7721;9,55;1,552;1,83;"sea:grassy hill:glacier:jungle:reef";"hot:frigid:artificial temperate"
537;"Thunderpeak Poseidian";7721;4,85;0,88;1,77;"cliff:glacier:acid pool:swamp:sea";"frigid:humid:artic:windy:artificial temperate"
538;"Mekbuda Athenian";9094;2,82;1,179;1,34;"toxic cloudsea:city:sea:glacier:plateau";"frigid:subartic:artic"
539;"Mekbuda Astraeos";9094;4,87;1,547;1,47;"volcano:urban:island:rocky island";"humid:superheated:arid:artic:frigid:tropical"
540;"Mekbuda Persephonian";9094;3,14;1,235;1,37;"plateau:ocean:swamp:jungle:forest:rocky canyon";"temperate:hot:superheated:humid"
541;"Albaldah Hecatean";4018;0,56;0,8;0,89;"bog:rock arche:field";"hot:humid:frozen:subartic"
542;"Pyramid Radiance Hadean";9323;1,38;1,194;1,05;"rocky island:ice cave";"frozen:temperate:superheated:arid:artic"
543;"Elysian Nebula Omega";377;4,94;0,883;1,78;"ice cave";"tropical:rocky:frozen:subartic"
544;"Sharjah Shi";2592;7,06;0,999;1,92;"canyons";"frozen:hot:rocky"
545;"Sharjah San";2592;2,88;xx;1,41;"volcano:urban:savanna:bog";"arid:frigid:artic:temperate"
546;"Sharjah Er";2592;8,54;1,057;2,01;"sea:tundra";"subartic:hot:windy:arid:frozen"
547;"Sharjah Jiu";2592;0,66;0,903;0,9;"fungus forest:glacier:vine";"humid:frozen:frigid:windy"
548;"Tōku Echoes Liu";3099;0,93;0,878;1,02;"lava river";"hot"
549;"Tōku Echoes Er";3099;5,63;0,487;2,26;"vine:river:sea:cliff";"superheated:artic:rocky:arid:windy:temperate"
550;"Tōku Echoes Ba";3099;4,57;0,947;1,69;"cityscape:canyons:volcano:ice cave:barren:river";"subartic:temperate:arid:tropical"
551;"Tōku Echoes Jiu";3099;2,11;1,555;1,11;"forest:field";"rocky:artificial temperate:hot:artic"
552;"Alshain Shi";3348;3,75;1,091;1,51;"acid pool:cave:urban:desert:reef";"arid:humid:temperate:artificial temperate:superheated:frigid"
553;"Alshain Jiu";3348;3,33;0,949;1,52;"bog:ash:savanna:rocky desert:ocean:sinkholes:jungle:mountain";"humid:rocky:tropical:superheated:frigid"
554;"Alshain Ba";3348;9,44;0,791;2,28;"grassland:desert:jungle:forest:reef:river:grassy hill";"hot:arid:humid:frozen:tropical:subartic"
555;"Alshain San";3348;3,31;1,023;1,48;"rocky desert";"arid:tropical:frozen:rocky"
556;"Kasumi Whisper Rho";3007;0,65;1,211;0,81;"acid pool";"hot"
557;"Kasumi Whisper Zeta";3007;1,44;0,915;1,16;"forest:savanna:canyons:island:bog:cliff:valley";"subartic:temperate:rocky:artificial temperate:tropical"
558;"Kasumi Whisper Gamma";3007;1,72;1,02;1,19;"canyons:toxic cloudsea:field:desert:grassy hill:jungle";"hot:rocky:frigid:frozen"
559;"Atakoraka Prime";9366;2,23;0,939;1,33;"hill:forest:ice canyon:lakes:glacier:cave:field";"artic:artificial temperate:humid:frigid:subartic"
560;"Tabit Kappa";2297;6,94;1,173;1,81;"field:rocky desert";"tropical:artificial temperate:windy:humid"
561;"Kaffaljidhma Zeta";2735;5,97;1,172;1,72;"volcano:city:rocky canyon:glacier:tundra";"frigid:superheated:artificial temperate:windy:arid:hot"
562;"Cosmosis Ba";4631;4,25;1,03;1,6;"sinkholes:desert:ash:urban:scrubland";"arid:hot:superheated:artic"
563;"Thoth's Nebula Eta";540;3,06;1,258;1,34;"swamp:ash:plateau:verdant:cliff:mountain:bog:grassy hill";"subartic:hot:frigid:superheated:tropical"
564;"Mirfak Chi";9552;9,13;1,084;2,03;"cliff:desert:island:rock arche";"windy:rocky:frigid:arid"
565;"Quasar Seraph Hermesios";3886;9,28;0,663;2,41;"desert:scrubland";"arid:subartic:artic:windy"
566;"Pulsarianix IX";6785;0,86;0,938;0,97;"bog:sinkholes:plain:city:swamp";"superheated:windy:humid:artic:frigid:artificial temperate:frozen"
567;"Pulsarianix XXII";6785;3,23;0,675;xx;"urban:sea:jungle";"tropical:superheated:temperate:frigid"
568;"Quasarion Apollox";2968;6,71;1,453;1,67;"verdant:scrubland:lakes:reef:rocky canyon:volcano:tundra:lava river";"frigid:windy:arid:rocky:subartic:artic"
569;"Zenitharian Aetherios";3039;5,83;0,9;1,86;"plateau";"arid:rocky:tropical:artificial temperate"
570;"Zenitharian Poseidian";3039;1,31;1,165;1,04;"jungle";"temperate:tropical"
571;"Zenitharian Atlasios";3039;9,47;1,188;2;"hill:cityscape:desert";"subartic:artificial temperate:hot:windy:humid:frigid"
572;"Phact Sextant";2358;4,9;1,505;1,48;"cliff:urban:swamp:lakes:rocky desert";"subartic:temperate:frozen:tropical"
573;"Phact Quintal";2358;6,42;1,418;1,65;"mountain:barren";"windy:arid:superheated"
574;"Sakura Seraph V";6513;4,16;1,165;1,53;"ice canyon:tundra";"artic"
575;"Brimstone Asclepian";7435;0,76;0,718;1,02;"verdant";"frozen:tropical:artic:rocky"
576;"Petra XXI";518;0,83;xx;1,02;"ice cave:urban:desert";"frozen:tropical:rocky:hot"
577;"Petra III";518;0,42;1,594;0,64;"cave:rainforest:jungle";"frozen:rocky:tropical"
578;"Vesperian Whimsy VII";1825;2,27;0,721;1,47;"volcano:sinkholes:jungle:desert:fungus forest";"superheated:frigid:tropical"
579;"Cosmic Elegance Hecatean";9998;1,14;1,165;0,99;"bog:ocean:valley:hill";"tropical:artic:hot:frigid"
580;"Orion's Elegance Theta";3148;2,08;1,195;1,2;"ice canyon:city";"frigid"
581;"Orion's Elegance Iota";3148;2,81;1,294;1,3;"city";"rocky"
582;"Quantumara VII";8214;2,07;0,884;1,33;"forest";"windy:humid"
583;"Quantumara VIII";8214;1,42;0,861;1,18;"tundra:ice canyon:ocean:island:lakes";"frigid:temperate:frozen:subartic"
584;"Astrolithium Decimal";6163;4,58;0,945;1,69;"sea";"temperate:rocky"
585;"Astrolithium Vigesimal";6163;6,51;1,354;1,69;"river:field:toxic cloudsea:rocky island:jungle";"humid:tropical:artic:artificial temperate:hot"
586;"Astrolithium Secant";6163;7,29;1,057;1,9;"lakes:grassy hill:plain:ice cave";"arid:artificial temperate:frigid:frozen"
587;"Spectral Serenity XVIII";4008;7,83;1,268;1,83;"acid pool:rocky island";"humid:artic:windy:artificial temperate"
588;"Spectral Serenity XVI";4008;2,71;1,35;1,26;"cliff:hill:reef:vine:urban:desert:field:valley";"superheated:temperate:artificial temperate:frozen:windy:artic"
589;"Astroth X";5106;1,44;1,084;1,1;"rock arche:cliff";"humid:windy:rocky:hot"
590;"Pulsariana Er";7984;3,84;0,913;1,61;"desert:acid pool:river:urban:lakes:cityscape";"hot:subartic:humid:rocky:windy:temperate"
591;"Kaminari Enigma Atlasios";1589;2,79;1,572;1,21;"desert:lakes:ice cave:canyons:sea:reef";"tropical:artic:humid:superheated"
592;"Suhail Quintal";8869;4,7;1,388;1,5;"bog:cliff";"windy:arid:humid"
593;"Suhail Sextant";8869;1,15;1,247;0,97;"ice cave:plain:verdant";"artic:superheated"
594;"Suhail Prime";8869;2,16;0,974;1,3;"glacier:rocky island";"artificial temperate:humid:temperate:subartic"
595;"Shogun's Loom XVII";107;0,82;1,332;0,85;"canyons";"windy:hot:artificial temperate:frozen"
596;"Giausar Qi";5247;8,26;1,077;1,97;"verdant";"frigid"
597;"Giausar Ba";5247;0,87;0,956;0,97;"sea:mountain";"artificial temperate:humid:tropical:superheated"
598;"Frostgale XIX";6749;7,49;1,044;1,93;"fungus forest:cityscape:rocky island";"humid:frigid:windy:artificial temperate:superheated:hot:artic"
599;"Frostgale XIV";6749;7,79;1,395;1,77;"hill:river:vine";"rocky:subartic:temperate:superheated:hot"
600;"Obelisk Whisper Prime";8690;2,45;0,982;1,36;"plain:field";"tropical:subartic:windy"
601;"Obelisk Whisper Duodecimal";8690;2,64;1,323;1,26;"rocky island:river:city:grassland:lava river:ice cave:cityscape";"arid:windy:temperate:tropical:frozen:rocky"
602;"Aetherial Mirage Nyxios";7182;1,29;0,999;1,09;"mountain";"frigid:frozen:subartic:hot"
603;"Ayeyarwady Tritonian";6210;3,53;1,256;1,41;"vine:acid pool";"artificial temperate:temperate:rocky"
604;"Heliosara Septimal";1241;1,52;1,38;1,03;"plain:verdant:swamp:cliff:ocean";"humid:rocky:temperate:tropical"
605;"Heliosara Vigesimal";1241;1,13;0,925;1,07;"plain:rock arche:tundra";"artic:arid:subartic"
606;"Heliosara Octal";1241;5,15;0,945;1,76;"cityscape";"hot"
607;"Heliosara Tertial";1241;0,85;0,849;1;"barren:city:cave";"arid:artic:superheated"
608;"Obelisk Beacon XXIV";1877;1,5;1,306;1,05;"barren";"arid:artic:temperate:superheated"
609;"Reikon Resonance Lambda";2543;2,11;0,954;xx;"river";"windy:frozen:artic"
610;"Reikon Resonance Iota";2543;2,52;0,966;1,38;"cave";"arid:artic:frigid"
611;"Reikon Resonance Nu";2543;7,8;1,096;1,92;"fungus forest:vine:cliff:plain";"windy:superheated:rocky:temperate:tropical:hot"
612;"Reikon Resonance Rho";2543;2,99;0,979;1,45;"savanna:tundra:reef:plain:verdant:volcano";"artic:hot:artificial temperate:temperate"
613;"Belel XIX";1105;4,18;0,736;1,78;"hill:scrubland";"hot:frozen:arid:artificial temperate:temperate:rocky:frigid"
614;"Penumbralix Omicron";5906;2,5;1,377;1,22;"forest";"windy"
615;"Penumbralix Gamma";5906;6,9;1,446;1,68;"fungus forest";"tropical:temperate"
616;"Tarf Nemesisian";1839;3,27;1,174;1,41;"ice cave:forest:rock arche:valley:vine:city:island";"artificial temperate:frozen:temperate:frigid:arid"
617;"Tarf Irisian";1839;7,46;1,251;1,81;"rocky canyon:fungus forest:rainforest:valley:rock arche";"arid:hot:tropical"
618;"Ruchbah Qi";1079;2,91;0,916;1,47;"urban:lakes";"artic"
619;"Ruchbah Ba";1079;3,99;0,944;1,62;"cliff";"humid:rocky"
620;"Ruchbah Jiu";1079;5,81;1,324;1,64;"plain:cityscape:lava river:jungle";"hot:frozen:frigid:rocky:arid:windy"
621;"Ruchbah Yi";1079;5,05;0,432;2,27;"volcano:bog:field:plateau:forest";"superheated:humid:frigid"
622;"Nahn IV";3459;9,52;xx;2,15;"swamp:river:rocky desert:desert:valley";"humid:tropical:subartic:frozen:rocky"
623;"Orionyx Gaian";5334;1,04;0,636;xx;"plain:sea:toxic cloudsea:rock arche:rainforest:rocky canyon";"arid:artificial temperate:humid:artic"
624;"Geisha's Mirage Psychean";3695;4,14;1,06;1,57;"island";"frigid:frozen:humid:artic"
625;"Geisha's Mirage Artemian";3695;2,09;1,047;1,26;"cave:rocky desert:river:verdant:savanna";"windy:humid:arid:superheated"
626;"Sadalmelik XX";3534;0,78;0,905;0,95;"cave";"humid:windy:artic:frozen"
627;"Markab Zeta";5275;5,35;0,986;1,76;"river:lakes";"humid"
628;"Markab Upsilon";5275;1,19;1,109;1,02;"jungle:forest";"tropical:frozen:windy:frigid:rocky:humid"
629;"Markab Theta";5275;8,73;1,216;1,93;"jungle:valley:grassy hill:ice canyon:rock arche:verdant";"subartic:artic:tropical:humid:windy"
630;"Markab Lambda";5275;2,92;0,969;1,44;"river";"rocky:arid:frozen"
631;"Ombria V";833;6,48;0,768;2,04;"";"windy"
632;"Amatsu Echo Wu";57;6,57;1,16;1,78;"plain:plateau:rocky island";"temperate:rocky:hot"
633;"Amatsu Echo Jiu";57;1,49;0,912;1,18;"rainforest:bog:rock arche:desert";"arid:frozen:windy:subartic:superheated:tropical"
634;"Nebulonara Gaios";7375;4,7;0,947;1,71;"desert:jungle:verdant:hill";"superheated:temperate:humid:tropical"
635;"Ryusei Radiance Omicron";1923;1,69;1,337;1,08;"ocean:toxic cloudsea";"hot:frozen"
636;"Nebuloria Selenean";9469;7,67;0,844;2,09;"rock arche:glacier:verdant";"subartic:frigid:frozen:temperate"
637;"Thunderforge Faunios";9705;1,48;1,101;1,1;"hill:volcano:sinkholes:rocky desert:urban:verdant:plateau:rainforest";"rocky:frigid:artic:subartic:artificial temperate:superheated"
638;"Thunderforge Artemian";9705;5,47;1,151;1,68;"verdant:island";"artificial temperate:humid:frigid:windy"
639;"Celestial Mirage XXIII";8560;3,7;1,56;1,33;"plain";"rocky"
640;"Celestial Mirage I";8560;3,05;0,566;1,75;"verdant:cave:river:forest:toxic cloudsea:city:plateau:rocky canyon";"temperate:artic:windy:tropical:humid:frozen"
641;"Celestial Mirage XVIII";8560;2,32;1,157;1,26;"field";"windy"
642;"Lunaris Janusian";1689;1,06;0,926;1,05;"canyons:rocky island:sea";"artic:temperate:superheated:frozen"
643;"Kamuy Phi";5598;1,87;1,067;1,21;"rock arche";"windy:subartic:temperate:tropical:frozen"
644;"Kamuy Omicron";5598;3,73;1,433;1,38;"canyons:verdant:toxic cloudsea";"tropical:artificial temperate:frozen:windy"
645;"Kamuy Zeta";5598;1,66;0,555;1,44;"sea:bog";"tropical:hot:frozen:frigid"
646;"Kawa Selenean";8559;2,45;0,662;1,55;"reef:field:jungle:cityscape:plain";"artic:temperate:hot:rocky"
647;"Kawa Pantheon";8559;2,06;1,208;1,19;"river:grassland:lakes:rocky island";"frozen:temperate:rocky"
648;"Kawa Oranos";8559;0,92;0,639;1,13;"urban:rocky island:rainforest:river";"tropical:rocky:frigid:subartic"
649;"Ran Faunios";1323;0,83;0,936;0,96;"urban:vine:canyons:rainforest:cave";"tropical:frigid:rocky:humid:superheated"
650;"Cosmic Enigma IV";7010;2,32;1,346;1,2;"toxic cloudsea:plain:cityscape:vine:ice canyon";"humid:frigid:tropical:frozen"
651;"Cosmic Enigma XXI";7010;0,54;0,564;0,99;"jungle";"subartic:frigid:tropical:rocky"
652;"Cosmic Enigma III";7010;1,16;1,017;1,04;"rock arche:field:lava river:sea:vine:cliff:swamp:jungle:grassy hill";"subartic:hot:humid:artic:frozen:artificial temperate"
653;"Cosmic Enigma VIII";7010;3,14;1,264;1,35;"cave:tundra";"subartic:hot:artic:artificial temperate"
654;"Shogun's Resonance Atlasios";3858;6,94;0,765;2,09;"urban";"humid:windy:hot"
655;"Frostfang San";8203;0,6;0,723;0,94;"cityscape:savanna";"superheated"
656;"Peacock Lambda";5174;5,37;1,031;1,73;"city:jungle";"subartic:frozen:frigid:windy:hot"
657;"Felixvarela Yi";18;0,76;1,246;0,85;"swamp:plateau:rock arche:glacier:cliff:city:plain";"frozen:humid:artificial temperate:rocky:subartic"
658;"Felixvarela Er";18;5,12;0,934;1,76;"hill:rainforest:acid pool:mountain";"humid:hot:rocky:windy"
659;"Procyon Alpha";6235;1,46;1,062;1,11;"valley:hill";"frozen:artic:windy:subartic"
660;"Alnilam Undecimal";4420;3,06;1,38;1,3;"urban:rocky desert:ash:volcano:ice cave:cliff:desert";"frozen:superheated:arid:subartic:artic"
661;"Acrux Xi";1618;5,74;1,057;1,76;"mountain:cityscape:city";"rocky:frigid:subartic:artificial temperate"
662;"Acrux Beta";1618;0,39;0,892;0,76;"rock arche:ice cave:rainforest";"humid:windy:subartic"
663;"Acrux Delta";1618;5,37;0,999;1,75;"swamp";"windy:tropical:frozen:arid:artificial temperate:artic:frigid"
664;"Hoggar Undecimal";2516;2,49;0,972;1,37;"field";"artificial temperate"
665;"Hoggar Octal";2516;3,58;1,135;1,47;"glacier:ice cave:rock arche:lava river:sea";"arid:superheated:humid:frozen"
666;"Nebula Mirage Tau";8683;2,77;1,083;1,37;"grassland";"humid:frozen:artic:subartic:arid:hot:superheated"
667;"Nebula Mirage Nu";8683;6,75;0,962;1,91;"glacier:valley:ice canyon";"subartic:tropical:windy:frigid"
668;"Nebula Mirage Omicron";8683;3,2;0,851;1,55;"jungle:field";"rocky:frigid:hot:artic"
669;"Nebula Mirage Gamma";8683;1,85;0,365;1,72;"river:mountain:canyons";"artic:hot:arid:windy:tropical:subartic:frigid"
670;"Alula Australis Dionian";8759;1,56;0,983;1,17;"sea";"temperate:superheated:artic"
671;"Alula Australis Harpian";8759;1,65;1,171;1,12;"acid pool";"rocky:frigid:temperate:subartic"
672;"Algol Upsilon";2773;8,21;0,886;2,1;"rock arche:bog:lava river:acid pool";"superheated:subartic:frigid:artic:rocky:temperate:hot"
673;"Sarin Nemesisian";2348;8,69;xx;1,9;"acid pool:valley:ocean:hill:tundra:urban:sinkholes";"frigid:arid:rocky:artic:tropical:hot"
674;"Lurking Cosmos Septimal";2643;7,83;1,25;1,84;"rock arche:plain:rainforest:ocean:urban:rocky island";"temperate:arid:artic:humid"
675;"Lurking Cosmos Vigesimal";8149;1,94;1,001;1,25;"urban:plain";"rocky:tropical:subartic:artic"
676;"Lurking Cosmos Quartal";8149;0,64;0,866;0,9;"plain:rainforest:island:valley:jungle:swamp";"tropical:frigid:temperate:arid"
677;"Anubis' Radiance Sextant";337;3,11;0,597;1,73;"island:rainforest";"superheated:humid:artificial temperate"
678;"Heliconian Mirage XXIII";5266;3,08;0,673;1,66;"cityscape:volcano:ash:verdant:lava river";"temperate:hot:rocky"
679;"Heliconian Mirage I";5266;9,13;0,642;2,42;"plateau:city:cityscape:river";"arid:humid:windy:tropical:hot"
680;"Heliconian Mirage VII";5266;1,05;0,394;1,39;"vine";"frozen:humid:frigid"
681;"Helixar Oranos";7147;2,13;0,693;1,45;"cliff:canyons";"subartic:rocky:tropical:frigid"
682;"Komorebi Cascade Mu";6608;0,46;0,819;0,83;"lakes";"artificial temperate:temperate:rocky:humid"
683;"Quanticara Decimal";1292;5,83;0,97;1,82;"plain:mountain:island:hill:urban:canyons:rocky desert";"temperate:subartic:frigid:tropical:frozen"
684;"Malmok Hecatean";4912;1,6;1,078;1,14;"city:sinkholes";"windy:frozen:artic:humid:superheated:hot"
685;"Alphard Orphean";7785;3,91;1,064;1,54;"volcano:cliff:rocky canyon";"tropical:temperate:superheated:arid"
686;"Porrima Rho";2607;1,69;0,716;1,33;"grassy hill";"temperate:artificial temperate:subartic"
687;"Porrima Upsilon";2607;0,68;1,53;0,76;"mountain:rocky desert:sea:city:cityscape";"temperate:tropical:rocky:frozen:frigid:hot"
688;"Pulsara Ba";1707;1,81;1,187;1,15;"plain:mountain";"frigid:superheated:tropical"
689;"Pulsara San";1707;7,01;1,159;1,82;"plain";"superheated:rocky:hot:frigid:artificial temperate:arid"
690;"Umi Expanse Prime";6441;2,65;0,872;1,45;"lava river";"subartic:artic:humid:frigid:superheated:hot"
691;"Maasym Zeta";973;4,52;0,969;1,67;"rocky island:fungus forest:river:jungle:lakes:volcano:verdant";"artificial temperate:frozen:artic:subartic:hot"
692;"Fumalsamakah Iota";4717;0,51;0,687;0,91;"island:rock arche";"rocky:frigid:temperate"
693;"Fumalsamakah Zeta";4717;6,76;1,37;1,7;"cityscape:swamp:field:reef:rock arche";"tropical:temperate:artic"
694;"Cosmara Psi";619;4,51;0,715;1,85;"rock arche:volcano:fungus forest:toxic cloudsea:desert:valley:grassland:ice canyon";"humid:rocky:windy:temperate:frozen:superheated"
695;"Cosmara Alpha";619;5,99;1,565;1,56;"lava river:island:tundra:sinkholes:rocky island:grassland:bog:verdant";"frozen:hot:temperate:tropical:rocky"
